Survey,Variable,Question Text,Type of Q,Response Categories,Notes
ISSP_1994,v9,Having a job is the best way for a woman to be an independent person,Independence for women: job,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v10 ,Most women have to wrok these days to support their families,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v11,Both the husband and wife should contribute to household income,Have to share pants,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v12,A man's job is to earn money; a woman's job is to look after the home and family.,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v13,It is not good if the man stays at home and cares for and the woman goes out to work.,Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v14,Family life often suffers because men concentrate too much on their work.,Workaholic men vs. family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v15,"Do you think that women should work outside the home full-time, part-time or not at all under these circumstances: After marrying and before there are children.",Approval of female working ,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v16,Women should work outside: when there is a child under school age. ,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v17,Women should work outside: after the youngest child starts school.,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v18,women should work outside: after the children leave home.,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v42,Working women should receive paid maternity leave when they have a baby,Job vs. gender,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1998,v12,A husband's job is to earn mony; a wife's job is to look after the home and family,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3190
ISSP_1998,v13,"Agree or disagree: All in all, family life suffers when the woman has a full-time job",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3190
ISSP_2002,v4,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v5,A pre-school child is likely to suffer if his or her mother works,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v6,"All in all, family life suffers when the woman has a full-time job",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v7,A job is all right but what most women really want is a home and children,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v8,Being a housewife is just as fulfilling as working for pay,Respect of housewives,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v9,Having a job is the best way for a woman to be an independent person,Independence for women: job,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v10,Both the husband and wife should contribute to household income,Have to share pants,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v11,A man's job is to earn money; a woman's job is to look after the home and family.,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v12,Men ought to do a larger share of household work than they do now.,Women vs. men: the domestic care,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v13,Men ought to do a larger share of childcare than they do now.,Women vs. men: the domestic care,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v14,"Do you think that women should work outside the home full-time, part-time or not at all under these circumstances: After marrying and before there are children.",Approval of female working ,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v15,Women should work outside: when there is a child under school age. ,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v16,Women should work outside: after the youngest child starts school.,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v17,women should work outside: after the children leave home.,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v27,Working women should receive paid maternity leave when they have a baby,,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2002,v64,"Do you think that women should work outside the home full-time, part-time or not at all, when a couple has not yet had a child?",Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA3880%20
ISSP_2008,v12,A husband's job is to earn mony; a wife's job is to look after the home and family,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA4950
ISSP_2009,v16,"To begin, we have some questions about opportunities for getting ahead. Please..show how important you think it is for getting ahead in life. How important is being born a man or woman?",Getting ahead: gender matters,1 Essential / 2 very important / 3 fairly important / 4 not very important / 5 not important at all,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA5400
ABS_01,q070,A man will lose face if he works under a female supervisor.,Job vs. gender,1 Strongly agree / 4 Strongly disagree,http://www.asianbarometer.org/newenglish/surveys/DataRelease.htm
ABS_02,qII100,"In your opinion, what are the most important problems facing this country that government should address?  ",Government: women policy,660 Gender issues/women’s rights & list of problems,http://www.asianbarometer.org/newenglish/surveys/DataRelease.htm
ABS_02,qII101,Second response,Government: women policy,660 Gender issues/women’s rights & list of problems,http://www.asianbarometer.org/newenglish/surveys/DataRelease.htm
ABS_02,qII102,Third response,Government: women policy,660 Gender issues/women’s rights & list of problems,http://www.asianbarometer.org/newenglish/surveys/DataRelease.htm
ABS_03,qIII62,"If one could have only one child, it is more preferable to have a boy than a girl. (NEW)",Children: gender choice,1 Strongly agree / 4 Strongly disagree,http://www.asianbarometer.org/newenglish/surveys/DataRelease.htm
ABS_03,qIII96,"In your opinion, what are the most important problems facing this country that government should address?  ",Government: women policy,660 Gender issues/women’s rights & list of problems,http://www.asianbarometer.org/newenglish/surveys/DataRelease.htm
ABS_03,qIII139,Women should not be involved in politics as much as men. (NEW),"Politics, for men!",1 Strongly agree / 4 Strongly disagree,http://www.asianbarometer.org/newenglish/surveys/DataRelease.htm
CEE,v140,(Germany) Which movement are you a member of? [too many options],Participation to women's group,25 Womens' association,http://zacat.gesis.org/webview/
CEE,v143,(Slovakia) Which movement are you a member of? [too many options],Participation to women's group,9 SUZ Slovak Women's Union,http://zacat.gesis.org/webview/
CEE,v168,"People associate democarcy with diverse meanings such as those on this card. For each of them, please tell me whether, for you, it has a lot, something, not much, or nothing to do with democracy, Equal rights for women.",Equality,1 A lot / 2 Something / 3 Not much / 4 Nothing,http://zacat.gesis.org/webview/
CEE,v232,The best thing for a woman to do is to take care of the house,Women's job is for family,1 Agree completely / 4 Disagree completely,http://zacat.gesis.org/webview/
AES_1987,Q51EQOPW,"(v137) Finally on election issues, some changes have been happening in Australia over the years. For each of the following please say whether you think it has gone too far, not gone far enough, or is it about right? ""Attempts to give equal opportunity for women.""",Female equal opportunities,1 Gone too far / 2 Abour right / 3 not gone far enough,http://aes.anu.edu.au/codebooks
AES_1990,f5equop,"The statements below indicate some of the changes that have been happening in Australia over the years. For each one, please say whether you think the change has gone too far, not gone far enough, or is it about right? Equal opportunities for women",Female equal opportunities,1 Much too far / 2 Too far / 3 About right / 4 Not far enough / 5 Not nearly far enough,http://aes.anu.edu.au/codebooks
AES_1990,f6wifhom,It is better for the family if the husband is the principal bread-winner and the wife has primary responsibility for the home and children,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://aes.anu.edu.au/codebooks
AES_1993,e2equop,"The statements below indicate some of the changes that have been happening in Australia over the years. For each one, please say whether you think the change has gone too far, not gone far enough, or is it about right? Equal opportunities for women",Female equal opportunities,1 Gone much too far / 2 Gone too far / 3 About right / 4 Not gone far enough / 5 Not nearly far enough,http://aes.anu.edu.au/codebooks
AES_1993,e5,"Would you say that job opportunities are, in general, better or worse for women than for men?",Job vs. gender,1 much better for women / 5 much worse for women,http://aes.anu.edu.au/codebooks
AES_1993,e6pref,Women should be given preferential treatment when applying for jobs and promotions,Special treatment for women,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_1993,e6opp,The government should increase opportunities for women in business and industry,Government: women policy,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_1996,e2equop,"The statements below indicate some of the changes that have been happening in Australia over the years. For each one, please say whether you think the change has gone too far, not gone far enough, or is it about right? Equal opportunities for women",Female equal opportunities,1 Gone much too far / 2 Gone too far / 3 About right / 4 Not gone far enough / 5 Not nearly far enough,http://aes.anu.edu.au/codebooks
AES_1996,e5pref,Women should be given preferential treatment when applying for jobs and promotions,Special treatment for women,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_1996,e5opp,The government should increase opportunities for women in business and industry,Government: women policy,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_1998,e2equop,"The statements below indicate some of the changes that have been happening in Australia over the years. For each one, please say whether you think the change has gone too far, not gone far enough, or is it about right? Equal opportunities for women",Female equal opportunities,1 Gone much too far / 2 Gone too far / 3 About right / 4 Not gone far enough / 5 Not nearly far enough,http://aes.anu.edu.au/codebooks
AES_1998,e6pref,Women should be given preferential treatment when applying for jobs and promotions,Special treatment for women,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_1998,e6opp,The government should increase opportunities for women in business and industry,Government: women policy,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_1998,e12,"Do you think there should, or should not, be laws protecting people from sexual discrimination?",Government: women policy,1 should / 2 should not,http://aes.anu.edu.au/codebooks
AES_1998,e13,"Should companies in industries such as iron and steel be allowed to employ only men for certain jobs, or should all jobs be open to qualified men and women equally?",Job vs. gender,1 only men / 2 men and women equally,http://aes.anu.edu.au/codebooks
AES_1998,e17p4,How important is it to guarantee equality between men and women in all aspects of life?,Equality,1 very important / 2 somewhat important / 3 Not important,http://aes.anu.edu.au/codebooks
AES_1998,g14p3,There is something wrong with a woman who doesn't want to have children,women have to have children,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_1998,g17p9,How important are the following characteristics in describing how you see yourself? Your gender-being a man or a woman,Gender matteres?,1 very important / 4 not at all important,http://aes.anu.edu.au/codebooks
AES_2001,e2equop,"The statements below indicate some of the changes that have been happening in Australia over the years. For each one, please say whether you think the change has gone too far, not gone far enough, or is it about right? Equal opportunities for women",Female equal opportunities,1 Gone much too far / 2 Gone too far / 3 About right / 4 Not gone far enough / 5 Not nearly far enough,http://aes.anu.edu.au/codebooks
AES_2001,e4pref,Women should be given preferential treatment when applying for jobs and promotions,Special treatment for women,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_2001,e4opp,The government should increase opportunities for women in business and industry,Government: women policy,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_2001,e10p4,How important is it to guarantee equality between men and women in all aspects of life?,Equality,1 very important / 2 somewhat important / 3 Not important,http://aes.anu.edu.au/codebooks
AES_2001,g10p3,How confident are you of your own ability to influence the following? G.10. How much do you agree or disagree with each of the following statements? There is something wrong with a woman who doesn't want to have children,women have to have children,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_2004,e2equop,"The statements below indicate some of the changes that have been happening in Australia over the years. For each one, please say whether you think the change has gone too far, not gone far enough, or is it about right? Equal opportunities for women",Female equal opportunities,1 Gone much too far / 2 Gone too far / 3 About right / 4 Not gone far enough / 5 Not nearly far enough,http://aes.anu.edu.au/codebooks
AES_2004,e4pref,Women should be given preferential treatment when applying for jobs and promotions,Special treatment for women,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_2004,e4opp,The government should increase opportunities for women in business and industry,Government: women policy,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_2010,E2EQUOP,"The statements below indicate some of the changes that have been happening in Australia over the years. For each one, please say whether you think the change has gone too far, not gone far enough, or is it about right? Equal opportunities for women",Female equal opportunities,1 Gone much too far / 2 Gone too far / 3 About right / 4 Not gone far enough / 5 Not nearly far enough,http://aes.anu.edu.au/codebooks
AES_2010,E4PREF,Women should be given preferential treatment when applying for jobs and promotions,Special treatment for women,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
AES_2010,E4OPP,The government should increase opportunities for women in business and industry,Government: women policy,1 Agree strongly / 5 disagree strongly,http://aes.anu.edu.au/codebooks
NSSS_1984,WomPref,Women should be given preferential treatment when applying for jobs.,Special treatment for women,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00423
NSSS_1984,WfPrestg,A university lecturer's wife has nothing like the same personal prestige as a woman who is a university lecturer herself.,House wives vs. career women,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00424
NSSS_1984,WfRespct,A housewife married to a lawyer is treated with just as much respect as a woman who is herself a lawyer.,Respect of housewives,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00425
NSSS_1984,WomEarn,I approve of a married woman earning money in business or industry even if she has a husband capable of supporting her.,Approval of female working ,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00426
NSSS_1984,WomFam,A woman should devote almost all her time to her family.,women's job is for family,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00427
NSSS_1984,WCareer,A married woman should not attach much importance to a career.,House wives vs. career women,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00428
NSSS_1984,JobSexN,Do you think you yourself have ever missed out on a job because of your sex?,Job vs. gender,1 definitely yes / 4 definitely no,http://www.ada.edu.au/social-science/00429
NSSS_1984,JobSexY,Did you ever get a job because you are a man (woman)?,Job vs. gender,1 definitely yes / 4 definitely no,http://www.ada.edu.au/social-science/00430
NSSS_1984,WomCFam,"Among the women you know who tried to combine a career and a family, how many managed to combine the two successfully?",House wives vs. career women,1 None / 2 Some / 3 About half / 4 Most / 5 All,http://www.ada.edu.au/social-science/00431
NSSS_1984,Career,FOR WOMEN'S CAREERS (WomEarn + WomFam + Wcareer),House wives vs. career women,0 to 100,http://www.ada.edu.au/social-science/00431
NSSS_1987,wompref,WOMEN - PREFERENTIAL TREATMENT FOR JOBS (Acutral question wordings are not provided by the codebook),Special treatment for women,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00548
NSSS_1987,wfprestg,WOMEN - WIFE PRESTIGE (Acutral question wordings are not provided by the codebook),House wives vs. career women,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00548
NSSS_1987,wfrespct,WOMEN - WIFE RESPECT (Acutral question wordings are not provided by the codebook),Respect of housewives,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00548
NSSS_1987,womearn,WOMEN - WIFE EARNING MONEY (Acutral question wordings are not provided by the codebook),Approval of female working ,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00548
NSSS_1987,womfam,WOMEN - DEVOTE TIME TO FAMILY (Acutral question wordings are not provided by the codebook),women's job is for family,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00548
NSSS_1987,wcareer,WOMEN - CAREER IF MARRIED (Acutral question wordings are not provided by the codebook),House wives vs. career women,1 Agree strongly / 5 disagree strongly,http://www.ada.edu.au/social-science/00548
NSSS_1987,jobsexn,JOB - MISS BECAUSE OF SEX (Acutral question wordings are not provided by the codebook),Job vs. gender,1 definitely yes / 4 definitely no,http://www.ada.edu.au/social-science/00548
NSSS_1987,jobsexy,JOB - GET BECAUSE OF SEX (Acutral question wordings are not provided by the codebook),Job vs. gender,1 definitely yes / 4 definitely no,http://www.ada.edu.au/social-science/00548
NSSS_1987,womcfam,WOMEN - SUCCESSFUL CAREER AND FAMILY (Acutral question wordings are not provided by the codebook),House wives vs. career women,1 none / 2 Some / 3 About half / 4 Most / 5 All,http://www.ada.edu.au/social-science/00548
NSSS_1987,career,FOR WOMEN'S CAREERS (Acutral question wordings are not provided by the codebook),House wives vs. career women,0 to 100,http://www.ada.edu.au/social-science/00548
NSSS_8788,rewsex,"In deciding how much people ought to be paid, how important should each of these things be, in your opinion, whether the worker is a man or a woman",Job vs. gender,1 the single most important thing / 6 should not matter at all,http://www.ada.edu.au/social-science/00627
NSSS_8788,at2sex,Please show for each of these how important you think it is for getting ahead in life: Being born a man or a woman?,Getting ahead: gender matters,1 Essential / 2 very important / 3 fairly important / 4 not very important / 5 not important at all,http://www.ada.edu.au/social-science/00627
NSSS_8788,cnfsex,"In your opinion, in Australia how much conflict is there between Men and women?",Women vs. men: conflict,1 high / 10 low,http://www.ada.edu.au/social-science/00627
NSSS_8990,MUMWKWRM,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,PRESSUF,A pre-school child is likely to suffer if his or her mother works. ,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,FAMSUFFT,"All in all, family life suffers when the woman has a full-time job",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,FAMHAPWK,A woman and her family will all be happier if she goes out to work,Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKHMKID,"A job is all right, but what most women really want is a home and children",Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WFFULFIL,Being a housewife is just as fulfilling as working for pay,Respect of housewives,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WWKINDEP,Having a job is the best way for a woman to be an independent person,Independence for women: job,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,HSBWFWK,Both the husband and wife should contribute to the household income,Have to share pants,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WFHMFAM,husband's job is to earn money; a wife's job is to look after the home and family,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKSHBEFK,Should wife work: Before kids: After marrying and before there are children,Approval of female working ,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKSHPRES,Should wife work: Before kids: When there is a child under school age,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKSHSCH,Should wife work: Before kids: After the youngest child starts school,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKSHGONE,Should wife work: Before kids: After the children leave home,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,ADVDEFW,"If you were advising a young woman, which of the following ways of life would you recommend?",    Women vs. men: marriage,"1 live alone / 2 Live defacto, not marry / 3 Live defacto, then marry / 4 Marry first ",http://www.ada.edu.au/social-science/00861
NSSS_8990,ADVDEFM,"If you were advising a young man, which of the following ways would you recommend?",    Women vs. men: marriage,"1 live alone / 2 Live defacto, not marry / 3 Live defacto, then marry / 4 Marry first ",http://www.ada.edu.au/social-science/00861
NSSS_8990,LONEMO,A single mother can bring up her child as well as a married couple,Approval of single mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,LONEFA,A single father can bring up his child as well as a married couple,Approval of single mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WEARNOK,approve of a married woman earning money in business and industry even if she has a husband capable of supporting her,Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WDEVFAM,A woman should devote almost all her time to her family,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,WCARBAD,A married woman should not attach much importance to a career,House wives vs. career women,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00861
NSSS_8990,FMWKCMB2,"When you were growing up, among the women you knew who tried to combine a career and a family, how many managed to combine the two successfully?",House wives vs. career women,1 None / 2 A few / 3 Some / 4 About half / 5 Most / 6 Almost all / 7 All,http://www.ada.edu.au/social-science/00861
NSSS_8990,FAMWKCMB,"And, among the women you know now who try to combine a career and a family, how many manage to combine the two successfully?",House wives vs. career women,1 None / 2 A few / 3 Some / 4 About half / 5 Most / 6 Almost all / 7 All,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKPFBEFK,(Women should give their own views. Men should say what they would want for their wife.) After marrying and before there are children,Approval of female working ,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKPFPRES,(Women should give their own views. Men should say what they would want for their wife.) When there are children under 6,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKPFSCH,(Women should give their own views. Men should say what they would want for their wife.) When the children are at school,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKPFGONE,(Women should give their own views. Men should say what they would want for their wife.) After the children leave home,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKPFHRET,(Women should give their own views. Men should say what they would want for their wife.) And after the husband retires,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKPFNOWH,"Nowadays in your family, does the husband want the wife to have a job?",Have to share pants,1 very strongly in favour / 7 very strongly against,http://www.ada.edu.au/social-science/00861
NSSS_8990,AT2SEX,Get ahead: Being born a man or a woman?,Getting ahead: gender matters,1 most important thing / 6 does not matter at all,http://www.ada.edu.au/social-science/00861
NSSS_8990,PRESHOME,It is best for young children if their mother stays home to take care of them,Approval of working mom,1 definitely yes / 5 definitely no,http://www.ada.edu.au/social-science/00861
NSSS_8990,TODNDMO,A toddler really needs a full-time mother,Approval of working mom,1 definitely yes / 5 definitely no,http://www.ada.edu.au/social-science/00861
NSSS_8990,WKPFNWH,"In your family, does the husband want the wife to have a job?",Have to share pants,1 definitely yes / 5 definitely no,http://www.ada.edu.au/social-science/00861
NSSS_8990,REWSEX,"In deciding how much people ought to be paid, how important should each of these things be, in your opinion, whether the worker is a man or a woman",Job vs. gender,1 the most important sinlge thing / 6 should not matter at all,http://www.ada.edu.au/social-science/00861
NSSS_1993,mumwkwr3,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work.,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,pressuf3,A pre-school child is likely to suffer if his or her mother works.,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,famsuff3,"All in all, family life suffers when the woman has a full-time job.",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,wearnok3,I approve of a married woman earning money in business and industry even if she has a husband capable of supporting her.,Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,wdevfa3,A woman should devote almost all her time to her family.,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,wcarbad3,A married woman should not attach much importance to a career.,House wives vs. career women,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,famwkcmb,"Among the women you know now who try to combine a career and a family, how many manage to combine the two successfully?",House wives vs. career women,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,wfhmfam3,A husband's job is to earn money; a wife's job is to look after the home and family,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,famsuf3x,"All in all, family life suffers when the woman has a full-time job",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00960
NSSS_1993,at2sex3,please show for each of these how important you think it is for getting ahead in life...Being born a man or a woman?,Getting ahead: gender matters,1 Essential / 2 very important / 3 fairly important / 4 not very important / 5 not important at all,http://www.ada.edu.au/social-science/00960
NSSS_1993,prdegwo,"Now we would like to ask about what journalists and the press should be allowed to do, and what they shouldn't. Should the press be allowed to publish… Things that degrade or demean women?",Women in media,1 Definitely allowed / 4 Definitely not allowed,http://www.ada.edu.au/social-science/00960
NSSS_1993,prmobad,"Now we would like to ask about what journalists and the press should be allowed to do, and what they shouldn't. Should the press be allowed to publish...Facts that make single mothers look bad?",Women in media,1 Definitely allowed / 4 Definitely not allowed,http://www.ada.edu.au/social-science/00960
NSSS_1994,p36q7a,"Did you work outside the home full-time, part-time or not at all at these different times of life... >> Women should answer for themselves. Men should answer for their wife. >> If you haven't reached this stage of life, tell about your plans. 7a. After marrying and before you had children?",Approval of female working ,1 worked full-time / 2 worked part-time / 3 stayed home,http://www.ada.edu.au/social-science/00966
NSSS_1994,p36q7b,And what about when a child was under school age?,Approval of working mom,1 worked full-time / 2 worked part-time / 3 stayed home,http://www.ada.edu.au/social-science/00966
NSSS_1994,p36q7c,After the youngest child started school?,Approval of working mom,1 worked full-time / 2 worked part-time / 3 stayed home,http://www.ada.edu.au/social-science/00966
NSSS_1994,p36q7d,And how about after the children left home?,Approval of working mom,1 worked full-time / 2 worked part-time / 3 stayed home,http://www.ada.edu.au/social-science/00966
